Region,Mean,Max,Min,Sum,Mode,Median,STD
CANADA,1.746709642761214,77,1,6503,13.0,59.0,3114.350835977648
Midwest,1.447779668884419,84,1,9357,13.0,76.0,3314.4619723186947
North,1.442891373801917,41,1,3613,13.0,59.0,3487.2767364493734
Northeast,1.900375939849624,80,1,11121,13.0,76.6,4375.735994673946
South,3.6070295231217036,109,1,164816,13.0,293.4,7251.810834739506
Southeast,4.380761523046092,100,1,34976,13.0,586.95,8150.677256852005
Southwest,1.8288586165851077,64,1,13828,13.0,76.0,3683.115962143936
West,1.3559006211180125,51,1,15281,13.0,59.0,3457.239449357213
